Plug Flow Rate (m^3 s^-1),Slip Flow Rate (m^3 s^-1)
6.200308104001177e-11,8.07516968656042e-12
6.200308104001177e-11,6.863894233576357e-12
6.200308104001177e-11,5.652618780592294e-12
6.200308104001177e-11,4.441343327608231e-12
6.200308104001177e-11,3.230067874624168e-12
6.200308104001177e-11,2.0187924216401054e-12
6.200308104001177e-11,8.075169686560418e-13
6.200308104001177e-11,8.016724742149041e-12
6.200308104001177e-11,6.8142160308266854e-12
6.200308104001177e-11,5.611707319504329e-12
6.200308104001177e-11,4.409198608181973e-12
6.200308104001177e-11,3.2066898968596168e-12
6.200308104001177e-11,2.0041811855372607e-12
6.200308104001177e-11,8.016724742149041e-13
6.200308104001177e-11,7.958492067511555e-12
6.200308104001177e-11,6.764718257384821e-12
6.200308104001177e-11,5.570944447258089e-12
6.200308104001177e-11,4.377170637131356e-12
6.200308104001177e-11,3.183396827004622e-12
6.200308104001177e-11,1.9896230168778892e-12
6.200308104001177e-11,7.958492067511555e-13
6.200308104001177e-11,7.900471662647959e-12
6.200308104001177e-11,6.715400913250765e-12
6.200308104001177e-11,5.5303301638535724e-12
6.200308104001177e-11,4.345259414456378e-12
6.200308104001177e-11,3.1601886650591843e-12
6.200308104001177e-11,1.97511791566199e-12
6.200308104001177e-11,7.900471662647959e-13
6.200308104001177e-11,7.842663527558256e-12
6.200308104001177e-11,6.666263998424518e-12
6.200308104001177e-11,5.489864469290779e-12
6.200308104001177e-11,4.31346494015704e-12
6.200308104001177e-11,3.1370654110233023e-12
6.200308104001177e-11,1.9606658818895643e-12
6.200308104001177e-11,7.842663527558255e-13
6.200308104001177e-11,7.785067662242442e-12
6.200308104001177e-11,6.617307512906077e-12
6.200308104001177e-11,5.44954736356971e-12
6.200308104001177e-11,4.281787214233343e-12
6.200308104001177e-11,3.1140270648969773e-12
6.200308104001177e-11,1.946266915560611e-12
6.200308104001177e-11,7.785067662242442e-13
5.85266689387776e-11,8.133826900745688e-12
5.85266689387776e-11,6.913752865633834e-12
5.85266689387776e-11,5.693678830521982e-12
5.85266689387776e-11,4.4736047954101284e-12
5.85266689387776e-11,3.2535307602982756e-12
5.85266689387776e-11,2.0334567251864224e-12
5.85266689387776e-11,8.133826900745687e-13
5.85266689387776e-11,8.07516968656042e-12
5.85266689387776e-11,6.863894233576357e-12
5.85266689387776e-11,5.652618780592294e-12
5.85266689387776e-11,4.441343327608231e-12
5.85266689387776e-11,3.230067874624168e-12
5.85266689387776e-11,2.0187924216401054e-12
5.85266689387776e-11,8.075169686560418e-13
5.85266689387776e-11,8.016724742149041e-12
5.85266689387776e-11,6.8142160308266854e-12
5.85266689387776e-11,5.611707319504329e-12
5.85266689387776e-11,4.409198608181973e-12
5.85266689387776e-11,3.2066898968596168e-12
5.85266689387776e-11,2.0041811855372607e-12
5.85266689387776e-11,8.016724742149041e-13
5.85266689387776e-11,7.958492067511555e-12
5.85266689387776e-11,6.764718257384821e-12
5.85266689387776e-11,5.570944447258089e-12
5.85266689387776e-11,4.377170637131356e-12
5.85266689387776e-11,3.183396827004622e-12
5.85266689387776e-11,1.9896230168778892e-12
5.85266689387776e-11,7.958492067511555e-13
5.85266689387776e-11,7.900471662647959e-12
5.85266689387776e-11,6.715400913250765e-12
5.85266689387776e-11,5.5303301638535724e-12
5.85266689387776e-11,4.345259414456378e-12
5.85266689387776e-11,3.1601886650591843e-12
5.85266689387776e-11,1.97511791566199e-12
5.85266689387776e-11,7.900471662647959e-13
5.85266689387776e-11,7.842663527558256e-12
5.85266689387776e-11,6.666263998424518e-12
5.85266689387776e-11,5.489864469290779e-12
5.85266689387776e-11,4.31346494015704e-12
5.85266689387776e-11,3.1370654110233023e-12
5.85266689387776e-11,1.9606658818895643e-12
5.85266689387776e-11,7.842663527558255e-13
5.85266689387776e-11,7.785067662242442e-12
5.85266689387776e-11,6.617307512906077e-12
5.85266689387776e-11,5.44954736356971e-12
5.85266689387776e-11,4.281787214233343e-12
5.85266689387776e-11,3.1140270648969773e-12
5.85266689387776e-11,1.946266915560611e-12
5.85266689387776e-11,7.785067662242442e-13
5.4815882906878746e-11,8.133826900745688e-12
5.4815882906878746e-11,6.913752865633834e-12
5.4815882906878746e-11,5.693678830521982e-12
5.4815882906878746e-11,4.4736047954101284e-12
5.4815882906878746e-11,3.2535307602982756e-12
5.4815882906878746e-11,2.0334567251864224e-12
5.4815882906878746e-11,8.133826900745687e-13
5.4815882906878746e-11,8.07516968656042e-12
5.4815882906878746e-11,6.863894233576357e-12
5.4815882906878746e-11,5.652618780592294e-12
5.4815882906878746e-11,4.441343327608231e-12
5.4815882906878746e-11,3.230067874624168e-12
5.4815882906878746e-11,2.0187924216401054e-12
5.4815882906878746e-11,8.075169686560418e-13
5.4815882906878746e-11,8.016724742149041e-12
5.4815882906878746e-11,6.8142160308266854e-12
5.4815882906878746e-11,5.611707319504329e-12
5.4815882906878746e-11,4.409198608181973e-12
5.4815882906878746e-11,3.2066898968596168e-12
5.4815882906878746e-11,2.0041811855372607e-12
5.4815882906878746e-11,8.016724742149041e-13
5.4815882906878746e-11,7.958492067511555e-12
5.4815882906878746e-11,6.764718257384821e-12
5.4815882906878746e-11,5.570944447258089e-12
5.4815882906878746e-11,4.377170637131356e-12
5.4815882906878746e-11,3.183396827004622e-12
5.4815882906878746e-11,1.9896230168778892e-12
5.4815882906878746e-11,7.958492067511555e-13
5.4815882906878746e-11,7.900471662647959e-12
5.4815882906878746e-11,6.715400913250765e-12
5.4815882906878746e-11,5.5303301638535724e-12
5.4815882906878746e-11,4.345259414456378e-12
5.4815882906878746e-11,3.1601886650591843e-12
5.4815882906878746e-11,1.97511791566199e-12
5.4815882906878746e-11,7.900471662647959e-13
5.4815882906878746e-11,7.842663527558256e-12
5.4815882906878746e-11,6.666263998424518e-12
5.4815882906878746e-11,5.489864469290779e-12
5.4815882906878746e-11,4.31346494015704e-12
5.4815882906878746e-11,3.1370654110233023e-12
5.4815882906878746e-11,1.9606658818895643e-12
5.4815882906878746e-11,7.842663527558255e-13
5.4815882906878746e-11,7.785067662242442e-12
5.4815882906878746e-11,6.617307512906077e-12
5.4815882906878746e-11,5.44954736356971e-12
5.4815882906878746e-11,4.281787214233343e-12
5.4815882906878746e-11,3.1140270648969773e-12
5.4815882906878746e-11,1.946266915560611e-12
5.4815882906878746e-11,7.785067662242442e-13
5.0939173729927283e-11,8.133826900745688e-12
5.0939173729927283e-11,6.913752865633834e-12
5.0939173729927283e-11,5.693678830521982e-12
5.0939173729927283e-11,4.4736047954101284e-12
5.0939173729927283e-11,3.2535307602982756e-12
5.0939173729927283e-11,2.0334567251864224e-12
5.0939173729927283e-11,8.133826900745687e-13
5.0939173729927283e-11,8.07516968656042e-12
5.0939173729927283e-11,6.863894233576357e-12
5.0939173729927283e-11,5.652618780592294e-12
5.0939173729927283e-11,4.441343327608231e-12
5.0939173729927283e-11,3.230067874624168e-12
5.0939173729927283e-11,2.0187924216401054e-12
5.0939173729927283e-11,8.075169686560418e-13
5.0939173729927283e-11,8.016724742149041e-12
5.0939173729927283e-11,6.8142160308266854e-12
5.0939173729927283e-11,5.611707319504329e-12
5.0939173729927283e-11,4.409198608181973e-12
5.0939173729927283e-11,3.2066898968596168e-12
5.0939173729927283e-11,2.0041811855372607e-12
5.0939173729927283e-11,8.016724742149041e-13
5.0939173729927283e-11,7.958492067511555e-12
5.0939173729927283e-11,6.764718257384821e-12
5.0939173729927283e-11,5.570944447258089e-12
5.0939173729927283e-11,4.377170637131356e-12
5.0939173729927283e-11,3.183396827004622e-12
5.0939173729927283e-11,1.9896230168778892e-12
5.0939173729927283e-11,7.958492067511555e-13
5.0939173729927283e-11,7.900471662647959e-12
5.0939173729927283e-11,6.715400913250765e-12
5.0939173729927283e-11,5.5303301638535724e-12
5.0939173729927283e-11,4.345259414456378e-12
5.0939173729927283e-11,3.1601886650591843e-12
5.0939173729927283e-11,1.97511791566199e-12
5.0939173729927283e-11,7.900471662647959e-13
5.0939173729927283e-11,7.842663527558256e-12
5.0939173729927283e-11,6.666263998424518e-12
5.0939173729927283e-11,5.489864469290779e-12
5.0939173729927283e-11,4.31346494015704e-12
5.0939173729927283e-11,3.1370654110233023e-12
5.0939173729927283e-11,1.9606658818895643e-12
5.0939173729927283e-11,7.842663527558255e-13
5.0939173729927283e-11,7.785067662242442e-12
5.0939173729927283e-11,6.617307512906077e-12
5.0939173729927283e-11,5.44954736356971e-12
5.0939173729927283e-11,4.281787214233343e-12
5.0939173729927283e-11,3.1140270648969773e-12
5.0939173729927283e-11,1.946266915560611e-12
5.0939173729927283e-11,7.785067662242442e-13
4.695971586732023e-11,8.133826900745688e-12
4.695971586732023e-11,6.913752865633834e-12
4.695971586732023e-11,5.693678830521982e-12
4.695971586732023e-11,4.4736047954101284e-12
4.695971586732023e-11,3.2535307602982756e-12
4.695971586732023e-11,2.0334567251864224e-12
4.695971586732023e-11,8.133826900745687e-13
4.695971586732023e-11,8.07516968656042e-12
4.695971586732023e-11,6.863894233576357e-12
4.695971586732023e-11,5.652618780592294e-12
4.695971586732023e-11,4.441343327608231e-12
4.695971586732023e-11,3.230067874624168e-12
4.695971586732023e-11,2.0187924216401054e-12
4.695971586732023e-11,8.075169686560418e-13
4.695971586732023e-11,8.016724742149041e-12
4.695971586732023e-11,6.8142160308266854e-12
4.695971586732023e-11,5.611707319504329e-12
4.695971586732023e-11,4.409198608181973e-12
4.695971586732023e-11,3.2066898968596168e-12
4.695971586732023e-11,2.0041811855372607e-12
4.695971586732023e-11,8.016724742149041e-13
4.695971586732023e-11,7.958492067511555e-12
4.695971586732023e-11,6.764718257384821e-12
4.695971586732023e-11,5.570944447258089e-12
4.695971586732023e-11,4.377170637131356e-12
4.695971586732023e-11,3.183396827004622e-12
4.695971586732023e-11,1.9896230168778892e-12
4.695971586732023e-11,7.958492067511555e-13
4.695971586732023e-11,7.900471662647959e-12
4.695971586732023e-11,6.715400913250765e-12
4.695971586732023e-11,5.5303301638535724e-12
4.695971586732023e-11,4.345259414456378e-12
4.695971586732023e-11,3.1601886650591843e-12
4.695971586732023e-11,1.97511791566199e-12
4.695971586732023e-11,7.900471662647959e-13
4.695971586732023e-11,7.842663527558256e-12
4.695971586732023e-11,6.666263998424518e-12
4.695971586732023e-11,5.489864469290779e-12
4.695971586732023e-11,4.31346494015704e-12
4.695971586732023e-11,3.1370654110233023e-12
4.695971586732023e-11,1.9606658818895643e-12
4.695971586732023e-11,7.842663527558255e-13
4.695971586732023e-11,7.785067662242442e-12
4.695971586732023e-11,6.617307512906077e-12
4.695971586732023e-11,5.44954736356971e-12
4.695971586732023e-11,4.281787214233343e-12
4.695971586732023e-11,3.1140270648969773e-12
4.695971586732023e-11,1.946266915560611e-12
4.695971586732023e-11,7.785067662242442e-13
4.234907834233184e-10,2.7495755990968685e-11
4.234907834233184e-10,2.337139259232338e-11
4.234907834233184e-10,1.924702919367808e-11
4.234907834233184e-10,1.5122665795032777e-11
4.234907834233184e-10,1.0998302396387473e-11
4.234907834233184e-10,6.873938997742171e-12
4.234907834233184e-10,2.7495755990968678e-12
4.234907834233184e-10,2.7363591522999675e-11
4.234907834233184e-10,2.3259052794549725e-11
4.234907834233184e-10,1.915451406609977e-11
4.234907834233184e-10,1.504997533764982e-11
4.234907834233184e-10,1.094543660919987e-11
4.234907834233184e-10,6.8408978807499195e-12
4.234907834233184e-10,2.736359152299967e-12
4.234907834233184e-10,2.7231745459691497e-11
4.234907834233184e-10,2.3146983640737775e-11
4.234907834233184e-10,1.906222182178405e-11
4.234907834233184e-10,1.4977460002830325e-11
4.234907834233184e-10,1.0892698183876601e-11
4.234907834233184e-10,6.807936364922876e-12
4.234907834233184e-10,2.72317454596915e-12
4.234907834233184e-10,2.7100217801044165e-11
4.234907834233184e-10,2.303518513088754e-11
4.234907834233184e-10,1.8970152460730916e-11
4.234907834233184e-10,1.4905119790574294e-11
4.234907834233184e-10,1.0840087120417667e-11
4.234907834233184e-10,6.775054450261041e-12
4.234907834233184e-10,2.7100217801044165e-12
4.234907834233184e-10,2.6969008547057666e-11
4.234907834233184e-10,2.292365726499902e-11
4.234907834233184e-10,1.8878305982940367e-11
4.234907834233184e-10,1.4832954700881718e-11
4.234907834233184e-10,1.0787603418823069e-11
4.234907834233184e-10,6.742252136764418e-12
4.234907834233184e-10,2.6969008547057667e-12
4.234907834233184e-10,2.6838117697732e-11
4.234907834233184e-10,2.2812400043072205e-11
4.234907834233184e-10,1.8786682388412403e-11
4.234907834233184e-10,1.47609647337526e-11
4.234907834233184e-10,1.0735247079092803e-11
4.234907834233184e-10,6.709529424433002e-12
4.234907834233184e-10,2.6838117697732e-12
4.234907834233184e-10,2.6707545253067177e-11
4.234907834233184e-10,2.2701413465107103e-11
4.234907834233184e-10,1.8695281677147026e-11
4.234907834233184e-10,1.468914988918695e-11
4.234907834233184e-10,1.068301810122687e-11
4.234907834233184e-10,6.676886313266796e-12
4.234907834233184e-10,2.670754525306717e-12
4.1273699274404305e-10,2.7495755990968685e-11
4.1273699274404305e-10,2.337139259232338e-11
4.1273699274404305e-10,1.924702919367808e-11
4.1273699274404305e-10,1.5122665795032777e-11
4.1273699274404305e-10,1.0998302396387473e-11
4.1273699274404305e-10,6.873938997742171e-12
4.1273699274404305e-10,2.7495755990968678e-12
4.1273699274404305e-10,2.7363591522999675e-11
4.1273699274404305e-10,2.3259052794549725e-11
4.1273699274404305e-10,1.915451406609977e-11
4.1273699274404305e-10,1.504997533764982e-11
4.1273699274404305e-10,1.094543660919987e-11
4.1273699274404305e-10,6.8408978807499195e-12
4.1273699274404305e-10,2.736359152299967e-12
4.1273699274404305e-10,2.7231745459691497e-11
4.1273699274404305e-10,2.3146983640737775e-11
4.1273699274404305e-10,1.906222182178405e-11
4.1273699274404305e-10,1.4977460002830325e-11
4.1273699274404305e-10,1.0892698183876601e-11
4.1273699274404305e-10,6.807936364922876e-12
4.1273699274404305e-10,2.72317454596915e-12
4.1273699274404305e-10,2.7100217801044165e-11
4.1273699274404305e-10,2.303518513088754e-11
4.1273699274404305e-10,1.8970152460730916e-11
4.1273699274404305e-10,1.4905119790574294e-11
4.1273699274404305e-10,1.0840087120417667e-11
4.1273699274404305e-10,6.775054450261041e-12
4.1273699274404305e-10,2.7100217801044165e-12
4.1273699274404305e-10,2.6969008547057666e-11
4.1273699274404305e-10,2.292365726499902e-11
4.1273699274404305e-10,1.8878305982940367e-11
4.1273699274404305e-10,1.4832954700881718e-11
4.1273699274404305e-10,1.0787603418823069e-11
4.1273699274404305e-10,6.742252136764418e-12
4.1273699274404305e-10,2.6969008547057667e-12
4.1273699274404305e-10,2.6838117697732e-11
4.1273699274404305e-10,2.2812400043072205e-11
4.1273699274404305e-10,1.8786682388412403e-11
4.1273699274404305e-10,1.47609647337526e-11
4.1273699274404305e-10,1.0735247079092803e-11
4.1273699274404305e-10,6.709529424433002e-12
4.1273699274404305e-10,2.6838117697732e-12
4.1273699274404305e-10,2.6707545253067177e-11
4.1273699274404305e-10,2.2701413465107103e-11
4.1273699274404305e-10,1.8695281677147026e-11
4.1273699274404305e-10,1.468914988918695e-11
4.1273699274404305e-10,1.068301810122687e-11
4.1273699274404305e-10,6.676886313266796e-12
4.1273699274404305e-10,2.670754525306717e-12
4.00791857075096e-10,2.7495755990968685e-11
4.00791857075096e-10,2.337139259232338e-11
4.00791857075096e-10,1.924702919367808e-11
4.00791857075096e-10,1.5122665795032777e-11
4.00791857075096e-10,1.0998302396387473e-11
4.00791857075096e-10,6.873938997742171e-12
4.00791857075096e-10,2.7495755990968678e-12
4.00791857075096e-10,2.7363591522999675e-11
4.00791857075096e-10,2.3259052794549725e-11
4.00791857075096e-10,1.915451406609977e-11
4.00791857075096e-10,1.504997533764982e-11
4.00791857075096e-10,1.094543660919987e-11
4.00791857075096e-10,6.8408978807499195e-12
4.00791857075096e-10,2.736359152299967e-12
4.00791857075096e-10,2.7231745459691497e-11
4.00791857075096e-10,2.3146983640737775e-11
4.00791857075096e-10,1.906222182178405e-11
4.00791857075096e-10,1.4977460002830325e-11
4.00791857075096e-10,1.0892698183876601e-11
4.00791857075096e-10,6.807936364922876e-12
4.00791857075096e-10,2.72317454596915e-12
4.00791857075096e-10,2.7100217801044165e-11
4.00791857075096e-10,2.303518513088754e-11
4.00791857075096e-10,1.8970152460730916e-11
4.00791857075096e-10,1.4905119790574294e-11
4.00791857075096e-10,1.0840087120417667e-11
4.00791857075096e-10,6.775054450261041e-12
4.00791857075096e-10,2.7100217801044165e-12
4.00791857075096e-10,2.6969008547057666e-11
4.00791857075096e-10,2.292365726499902e-11
4.00791857075096e-10,1.8878305982940367e-11
4.00791857075096e-10,1.4832954700881718e-11
4.00791857075096e-10,1.0787603418823069e-11
4.00791857075096e-10,6.742252136764418e-12
4.00791857075096e-10,2.6969008547057667e-12
4.00791857075096e-10,2.6838117697732e-11
4.00791857075096e-10,2.2812400043072205e-11
4.00791857075096e-10,1.8786682388412403e-11
4.00791857075096e-10,1.47609647337526e-11
4.00791857075096e-10,1.0735247079092803e-11
