Plug Flow Rate (m^3 s^-1),Slip Flow Rate (m^3 s^-1)
4.00791857075096e-10,6.709529424433002e-12
4.00791857075096e-10,2.6838117697732e-12
4.00791857075096e-10,2.6707545253067177e-11
4.00791857075096e-10,2.2701413465107103e-11
4.00791857075096e-10,1.8695281677147026e-11
4.00791857075096e-10,1.468914988918695e-11
4.00791857075096e-10,1.068301810122687e-11
4.00791857075096e-10,6.676886313266796e-12
4.00791857075096e-10,2.670754525306717e-12
3.8780787486543733e-10,2.7495755990968685e-11
3.8780787486543733e-10,2.337139259232338e-11
3.8780787486543733e-10,1.924702919367808e-11
3.8780787486543733e-10,1.5122665795032777e-11
3.8780787486543733e-10,1.0998302396387473e-11
3.8780787486543733e-10,6.873938997742171e-12
3.8780787486543733e-10,2.7495755990968678e-12
3.8780787486543733e-10,2.7363591522999675e-11
3.8780787486543733e-10,2.3259052794549725e-11
3.8780787486543733e-10,1.915451406609977e-11
3.8780787486543733e-10,1.504997533764982e-11
3.8780787486543733e-10,1.094543660919987e-11
3.8780787486543733e-10,6.8408978807499195e-12
3.8780787486543733e-10,2.736359152299967e-12
3.8780787486543733e-10,2.7231745459691497e-11
3.8780787486543733e-10,2.3146983640737775e-11
3.8780787486543733e-10,1.906222182178405e-11
3.8780787486543733e-10,1.4977460002830325e-11
3.8780787486543733e-10,1.0892698183876601e-11
3.8780787486543733e-10,6.807936364922876e-12
3.8780787486543733e-10,2.72317454596915e-12
3.8780787486543733e-10,2.7100217801044165e-11
3.8780787486543733e-10,2.303518513088754e-11
3.8780787486543733e-10,1.8970152460730916e-11
3.8780787486543733e-10,1.4905119790574294e-11
3.8780787486543733e-10,1.0840087120417667e-11
3.8780787486543733e-10,6.775054450261041e-12
3.8780787486543733e-10,2.7100217801044165e-12
3.8780787486543733e-10,2.6969008547057666e-11
3.8780787486543733e-10,2.292365726499902e-11
3.8780787486543733e-10,1.8878305982940367e-11
3.8780787486543733e-10,1.4832954700881718e-11
3.8780787486543733e-10,1.0787603418823069e-11
3.8780787486543733e-10,6.742252136764418e-12
3.8780787486543733e-10,2.6969008547057667e-12
3.8780787486543733e-10,2.6838117697732e-11
3.8780787486543733e-10,2.2812400043072205e-11
3.8780787486543733e-10,1.8786682388412403e-11
3.8780787486543733e-10,1.47609647337526e-11
3.8780787486543733e-10,1.0735247079092803e-11
3.8780787486543733e-10,6.709529424433002e-12
3.8780787486543733e-10,2.6838117697732e-12
3.8780787486543733e-10,2.6707545253067177e-11
3.8780787486543733e-10,2.2701413465107103e-11
3.8780787486543733e-10,1.8695281677147026e-11
3.8780787486543733e-10,1.468914988918695e-11
3.8780787486543733e-10,1.068301810122687e-11
3.8780787486543733e-10,6.676886313266796e-12
3.8780787486543733e-10,2.670754525306717e-12
3.739307871697063e-10,2.7495755990968685e-11
3.739307871697063e-10,2.337139259232338e-11
3.739307871697063e-10,1.924702919367808e-11
3.739307871697063e-10,1.5122665795032777e-11
3.739307871697063e-10,1.0998302396387473e-11
3.739307871697063e-10,6.873938997742171e-12
3.739307871697063e-10,2.7495755990968678e-12
3.739307871697063e-10,2.7363591522999675e-11
3.739307871697063e-10,2.3259052794549725e-11
3.739307871697063e-10,1.915451406609977e-11
3.739307871697063e-10,1.504997533764982e-11
3.739307871697063e-10,1.094543660919987e-11
3.739307871697063e-10,6.8408978807499195e-12
3.739307871697063e-10,2.736359152299967e-12
3.739307871697063e-10,2.7231745459691497e-11
3.739307871697063e-10,2.3146983640737775e-11
3.739307871697063e-10,1.906222182178405e-11
3.739307871697063e-10,1.4977460002830325e-11
3.739307871697063e-10,1.0892698183876601e-11
3.739307871697063e-10,6.807936364922876e-12
3.739307871697063e-10,2.72317454596915e-12
3.739307871697063e-10,2.7100217801044165e-11
3.739307871697063e-10,2.303518513088754e-11
3.739307871697063e-10,1.8970152460730916e-11
3.739307871697063e-10,1.4905119790574294e-11
3.739307871697063e-10,1.0840087120417667e-11
3.739307871697063e-10,6.775054450261041e-12
3.739307871697063e-10,2.7100217801044165e-12
3.739307871697063e-10,2.6969008547057666e-11
3.739307871697063e-10,2.292365726499902e-11
3.739307871697063e-10,1.8878305982940367e-11
3.739307871697063e-10,1.4832954700881718e-11
3.739307871697063e-10,1.0787603418823069e-11
3.739307871697063e-10,6.742252136764418e-12
3.739307871697063e-10,2.6969008547057667e-12
3.739307871697063e-10,2.6838117697732e-11
3.739307871697063e-10,2.2812400043072205e-11
3.739307871697063e-10,1.8786682388412403e-11
3.739307871697063e-10,1.47609647337526e-11
3.739307871697063e-10,1.0735247079092803e-11
3.739307871697063e-10,6.709529424433002e-12
3.739307871697063e-10,2.6838117697732e-12
3.739307871697063e-10,2.6707545253067177e-11
3.739307871697063e-10,2.2701413465107103e-11
3.739307871697063e-10,1.8695281677147026e-11
3.739307871697063e-10,1.468914988918695e-11
3.739307871697063e-10,1.068301810122687e-11
3.739307871697063e-10,6.676886313266796e-12
3.739307871697063e-10,2.670754525306717e-12
3.592996496637034e-10,2.7495755990968685e-11
3.592996496637034e-10,2.337139259232338e-11
3.592996496637034e-10,1.924702919367808e-11
3.592996496637034e-10,1.5122665795032777e-11
3.592996496637034e-10,1.0998302396387473e-11
3.592996496637034e-10,6.873938997742171e-12
3.592996496637034e-10,2.7495755990968678e-12
3.592996496637034e-10,2.7363591522999675e-11
3.592996496637034e-10,2.3259052794549725e-11
3.592996496637034e-10,1.915451406609977e-11
3.592996496637034e-10,1.504997533764982e-11
3.592996496637034e-10,1.094543660919987e-11
3.592996496637034e-10,6.8408978807499195e-12
3.592996496637034e-10,2.736359152299967e-12
3.592996496637034e-10,2.7231745459691497e-11
3.592996496637034e-10,2.3146983640737775e-11
3.592996496637034e-10,1.906222182178405e-11
3.592996496637034e-10,1.4977460002830325e-11
3.592996496637034e-10,1.0892698183876601e-11
