Radius (m),Length (m),Aspect Ratio,Pressure Drop (Pa),Pressure Gradient(Pa m^-1),Apparent Wall Shear Rate (s^-1),Volumetric Flow Rate (m^3 s^-1)
0.00025,0.005,10.0,1665000.0,333000000.0,0.2578048048048048,3.163740940761427e-12
0.0002602040816326531,0.006159933361099543,11.83673469387755,2051257.8092461477,333000000.0,0.26057260143649996,3.6054621804215177e-12
0.00027040816326530614,0.007394835485214494,13.673469387755102,2462480.2165764268,333000000.0,0.2631446551571151,4.0864277934150154e-12
0.0002806122448979592,0.008704706372344858,15.510204081632654,2898667.2219908377,333000000.0,0.26554093763184683,4.608305054358015e-12
0.00029081632653061223,0.010089546022490629,17.346938775510203,3359818.8254893795,333000000.0,0.26777880465876774,5.172761237866605e-12
0.0003010204081632653,0.011549354435651813,19.183673469387756,3845935.027072054,333000000.0,0.26987380350532264,5.781472072410635e-12
0.00031122448979591837,0.013084131611828406,21.02040816326531,4357015.8267388595,333000000.0,0.27217310123879834,6.444012499662905e-12
0.0003214285714285714,0.014693877551020407,22.857142857142858,4893061.224489796,333000000.0,0.27536152376260153,7.182019366772943e-12
0.00033163265306122445,0.016378592253227818,24.693877551020407,5454071.220324864,333000000.0,0.2797543965524617,8.013802918806991e-12
0.00034183673469387755,0.018138275718450645,26.53061224489796,6040045.8142440645,333000000.0,0.28552552976473317,8.957586721153672e-12
0.00035204081632653065,0.01997292794668888,28.367346938775512,6650985.0062473975,333000000.0,0.29277639676082845,1.0032403732133178e-11
0.0003622448979591837,0.021882548937942524,30.20408163265306,7286888.796334861,333000000.0,0.3015633753362181,1.1258364599819324e-11
0.0003724489795918368,0.023867138692211586,32.04081632653062,7947757.184506458,333000000.0,0.31191262136242737,1.2656778979351333e-11
0.0003826530612244898,0.02592669720949604,33.87755102040816,8633590.170762181,333000000.0,0.32382934819476006,1.4250223083574735e-11
0.0003928571428571429,0.028061224489795922,35.714285714285715,9344387.755102042,333000000.0,0.3373040457646523,1.6062583308339356e-11
0.00040306122448979586,0.030270720533111202,37.55102040816327,10080149.93752603,333000000.0,0.35231683039212014,1.8119087878986463e-11
0.00041326530612244896,0.0325551853394419,39.38775510204081,10840876.718034152,333000000.0,0.36884056998834996,2.0446331999612253e-11
0.000423469387755102,0.034914618908788005,41.22448979591837,11626568.096626405,333000000.0,0.3868431685025528,2.307229926589683e-11
0.0004336734693877551,0.03734902124114952,43.06122448979592,12437224.07330279,333000000.0,0.4062892540728334,2.602638082928285e-11
0.00044387755102040814,0.039858392336526445,44.89795918367347,13272844.648063306,333000000.0,0.4271414343380797,2.933939315619003e-11
0.00045408163265306124,0.042442732194918786,46.734693877551024,14133429.820907956,333000000.0,0.44936123221213004,3.3043594879859936e-11
0.00046428571428571433,0.04510204081632653,48.57142857142857,15018979.591836734,333000000.0,0.47290978281221285,3.717270304741508e-11
0.0004744897959183673,0.04783631820074968,50.40816326530612,15929493.960849645,333000000.0,0.4977483502130108,4.1761908950565486e-11
0.0004846938775510204,0.05064556434818826,52.244897959183675,16864972.92794669,333000000.0,0.523838707378498,4.684789365947399e-11
0.0004948979591836735,0.05352977925864223,54.08163265306123,17825416.493127864,333000000.0,0.5511434117123722,5.2468843336612e-11
0.0005051020408163265,0.056488962932111614,55.91836734693878,18810824.656393167,333000000.0,0.579626000748199,5.866446438046502e-11
0.0005153061224489795,0.05952311536859641,57.755102040816325,19821197.417742606,333000000.0,0.6092511266635687,6.547599843161245e-11
0.0005255102040816326,0.06263223656809662,59.59183673469388,20856534.777176175,333000000.0,0.6399846439468347,7.294623726242701e-11
0.0005357142857142857,0.06581632653061226,61.42857142857143,21916836.73469388,333000000.0,0.6717936612608038,8.111953756422899e-11
0.0005459183673469387,0.06907538525614328,63.26530612244898,23002103.290295713,333000000.0,0.70464656605013,9.004183564083105e-11
0.0005561224489795917,0.0724094127446897,65.10204081632654,24112334.443981674,333000000.0,0.7385130285260205,9.976066201416855e-11
0.0005663265306122449,0.07581840899625157,66.93877551020408,25247530.195751775,333000000.0,0.773363990187459,1.1032515594556083e-10
0.0005765306122448979,0.0793023740108288,68.77551020408163,26407690.54560599,333000000.0,0.8091716408961215,1.2178607987474357e-10
0.0005867346938775511,0.0828613077884215,70.61224489795919,27592815.493544362,333000000.0,0.8459093876336948,1.3419583377790175e-10
0.000596938775510204,0.08649521032902957,72.44897959183675,28802905.03956685,333000000.0,0.8835518173766518,1.476084694453475e-10
0.0006071428571428571,0.09020408163265306,74.28571428571429,30037959.183673467,333000000.0,0.9220746559804238,1.6207970467915215e-10
0.0006173469387755102,0.09398792169929196,76.12244897959184,31297977.925864223,333000000.0,0.9614547245385662,1.776669374108256e-10
0.0006275510204081633,0.09784673052894627,77.95918367346938,32582961.26613911,333000000.0,1.0016698943473674,1.9442925973906162e-10
0.0006377551020408163,0.10178050812161599,79.79591836734694,33892909.20449813,333000000.0,1.0426990413424513,2.124274718875235e-10
0.0006479591836734693,0.1057892544773011,81.63265306122449,35227821.740941264,333000000.0,1.0845220006660885,2.317240960826723e-10
0.0006581632653061225,0.10987296959600168,83.46938775510205,36587698.87546856,333000000.0,1.1271195218601653,2.5238339035167435e-10
0.0006683673469387755,0.11403165347771761,85.3061224489796,37972540.60807996,333000000.0,1.170473225050867,2.7447136224048873e-10
0.0006785714285714287,0.118265306122449,87.14285714285714,39382346.93877552,333000000.0,1.214565558389765,2.980557824523062e-10
0.0006887755102040815,0.12257392753019575,88.9795918367347,40817117.867555186,333000000.0,1.259379756936445,3.2320619840656217e-10
